"tourney_id","tourney_name","tourney_ioc","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points","tourney_date_num","w_w_14d","w_l_14d","l_w_14d","l_l_14d","w_w_28d","w_l_28d","l_w_28d","l_l_28d","mins_so_far_w","mins_so_far_l","rank_difference","rank_points_difference","winner_ioc_home_adv","winner_ioc_home_disadv","age_difference","age_mean_difference","winner_odds","loser_odds","winner_odds_prob","loser_odds_prob"
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,274,200282,"4","","Alex De Minaur","R",183,"AUS",21.8809034908,104291,NA,"","Malek Jaziri","R",185,"TUN",36.9582477755,"6-2 6-1",3,"R32",61,2,1,36,17,14,15,7,0,0,3,4,56,25,12,11,8,5,10,23,1860,249,220,1,0,0,0,0,0,0,0,0,0,0,226,1640,0,0,-15.0773442847,-4.21184625292051,1.04,10.9,0.912897822445561,0.0871021775544389
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,275,202090,NA,"Q","Adrian Andreev","R",NA,"BUL",19.6495550992,104947,NA,"WC","Marsel Ilhan","R",190,"TUR",33.568788501,"6-4 6-3",3,"R32",75,0,0,52,41,29,6,9,1,2,1,1,55,44,27,3,10,2,6,564,52,571,51,1,0,0,0,0,0,0,0,0,0,0,7,1,0,1,-13.9192334018,1.40896141317949,1.22,4.2,0.774907749077491,0.225092250922509
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,276,123795,NA,"WC","Altug Celikbilek","U",NA,"TUR",24.3258042437,200390,NA,"","Kacper Zuk","R",NA,"POL",21.954825462,"7-6(7) 7-5",3,"R32",109,4,4,85,59,45,14,12,9,10,6,3,86,59,45,11,12,5,7,309,150,262,209,1,0,0,0,0,0,0,0,0,0,0,-47,-59,1,0,2.3709787817,-2.3709787817,2.53,1.5,0.372208436724566,0.627791563275434
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,277,105932,"6","","Nikoloz Basilashvili","R",185,"GEO",28.8651608487,105063,NA,"","Andrea Arnaboldi","L",NA,"ITA",33.0239561944,"4-6 7-5 6-1",3,"R32",122,3,4,86,53,36,16,15,1,5,2,1,94,61,36,15,14,11,17,40,1395,267,206,1,0,0,0,0,0,0,0,0,0,0,227,1189,0,0,-4.1587953457,-4.1587953457,1.55,2.42,0.609571788413098,0.390428211586902
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,278,105526,"5","","Jan Lennard Struff","R",193,"GER",30.6967830253,200303,NA,"Q","Pavel Kotov","R",NA,"RUS",22.1300479124,"6-4 6-3",3,"R32",87,3,2,64,33,21,17,9,5,7,2,1,71,41,25,11,10,7,12,37,1450,269,205,1,0,0,0,0,0,0,0,0,0,0,232,1245,0,0,8.5667351129,-1.80047407567949,1.22,4.11,0.771106941838649,0.228893058161351
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,279,126409,NA,"","Hugo Grenier","R",NA,"FRA",24.7857631759,144684,NA,"Q","Alex Molcan","L",NA,"SVK",23.0937713895,"7-5 6-4",3,"R32",90,8,3,69,51,37,8,11,5,7,3,2,64,36,25,12,11,5,9,250,220,313,145,1,0,0,0,0,0,0,0,0,0,0,63,75,0,0,1.6919917864,-1.6919917864,1.86,1.92,0.507936507936508,0.492063492063492
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,280,104871,NA,"","Jeremy Chardy","R",188,"FRA",33.8945927447,105430,NA,"","Radu Albot","R",175,"MDA",31.1485284052,"6-3 6-4",3,"R32",79,5,4,50,35,25,8,10,0,3,3,6,67,46,23,9,9,6,11,72,880,85,817,1,0,0,0,0,0,0,0,0,0,0,13,63,0,0,2.7460643395,2.7460643395,2.1,1.64,0.438502673796791,0.561497326203209
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,281,104926,"3","","Fabio Fognini","R",178,"ITA",33.6180698152,202398,NA,"Q","Michael Vrbensky","R",NA,"CZE",21.0266940452,"6-4 7-6(4)",3,"R32",99,0,4,68,42,33,11,11,0,2,6,0,79,45,30,14,11,7,10,17,2400,311,148,1,0,0,0,0,0,0,0,0,0,0,294,2252,0,0,12.59137577,0.0174588470205101,1.43,2.77,0.65952380952381,0.34047619047619
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,282,122330,"8","","Alexander Bublik","R",196,"KAZ",23.5509924709,106099,NA,"","Salvatore Caruso","R",185,"ITA",28.0547570157,"6-3 6-3",3,"R32",67,8,2,48,33,26,10,9,0,0,0,3,55,33,23,9,9,5,8,49,1090,76,858,1,0,0,0,0,0,0,0,0,0,0,27,232,0,0,-4.5037645448,3.02155552677949,1.68,2.16,0.5625,0.4375
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,283,106137,NA,"","Tristan Lamasine","R",NA,"FRA",27.8357289528,106078,NA,"","Egor Gerasimov","R",196,"BLR",28.1478439425,"7-6(6) 6-2",3,"R32",91,0,1,69,46,30,13,10,2,4,4,3,73,44,30,10,10,0,4,271,204,78,840,1,0,0,0,0,0,0,0,0,0,0,-193,-636,0,0,-0.3121149897,-0.3121149897,5.13,1.16,0.184419713831479,0.815580286168521
